Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type,Soil_Type,Wilderness_Area,Hillshade
1,2596,51,3,258,0,510,6279,5,29,1,9am
2,2590,56,2,212,-6,390,6225,5,29,1,Noon
3,2804,139,9,268,65,3180,6121,2,12,1,3pm
4,2785,155,18,242,118,3090,6211,2,30,1,9am
5,2595,45,2,153,-1,391,6172,5,29,1,Noon
6,2579,132,6,300,-15,67,6031,2,29,1,3pm
7,2606,45,7,270,5,633,6256,5,29,1,9am
8,2605,49,4,234,7,573,6228,5,29,1,Noon
9,2617,45,9,240,56,666,6244,5,29,1,3pm
10,2612,59,10,247,11,636,6230,5,29,1,9am
11,2612,201,4,180,51,735,6222,5,18,1,Noon
12,2886,151,11,371,26,5253,4051,2,30,1,3pm
13,2742,134,22,150,69,3215,6091,2,30,1,9am
14,2609,214,7,150,46,771,6211,5,18,1,Noon
15,2503,157,4,67,4,674,5600,5,18,1,3pm
16,2495,51,7,42,2,752,5576,5,16,1,9am
17,2610,259,1,120,-1,607,6096,5,29,1,Noon
18,2517,72,7,85,6,595,5607,5,18,1,3pm
19,2504,0,4,95,5,691,5572,5,18,1,9am
20,2503,38,5,85,10,741,5555,5,18,1,Noon
21,2501,71,9,60,8,767,5547,5,18,1,3pm
22,2880,209,17,216,30,4986,4323,2,30,1,9am
23,2768,114,23,192,82,3339,5972,5,30,1,Noon
24,2511,54,8,124,0,638,5569,5,18,1,3pm
25,2507,22,9,120,14,732,5534,5,18,1,9am
26,2492,135,6,0,0,860,5494,5,18,1,Noon
27,2489,163,10,30,-4,849,5486,5,18,1,3pm
28,2962,148,16,323,23,5916,3395,2,29,1,9am
29,2811,135,1,212,30,3670,5643,2,12,1,Noon
30,2739,117,24,127,53,3281,6033,5,30,1,3pm
31,2703,122,30,67,27,3191,6123,5,30,1,9am
32,2522,105,7,120,1,595,5569,5,18,1,Noon
33,2519,102,6,124,4,616,5559,5,18,1,3pm
34,2516,23,6,150,4,658,5541,5,18,1,9am
35,2515,41,9,162,4,680,5532,5,18,1,Noon
36,2900,45,19,242,20,5199,4115,2,29,1,3pm
37,2709,125,28,67,23,3224,6094,5,30,1,9am
38,2511,92,7,182,18,722,5494,5,18,1,Noon
39,2749,98,30,124,53,3316,6005,5,30,1,3pm
40,2686,354,12,0,0,3167,6155,5,30,1,9am
41,2699,347,3,0,0,2096,6853,1,20,1,Noon
42,2570,346,2,0,0,331,5745,2,29,1,3pm
43,2533,71,9,150,-3,577,5552,5,18,1,9am
44,2703,330,27,30,17,3141,6186,5,16,1,Noon
45,2678,128,5,95,23,1660,6546,2,12,1,3pm
46,2529,68,8,210,-5,666,5484,5,18,1,9am
47,2524,94,7,212,-4,684,5474,5,18,1,Noon
48,2536,99,6,234,0,659,5475,5,18,1,3pm
49,2498,66,6,95,7,900,5357,5,18,1,9am
50,2489,100,7,85,13,810,5334,5,18,1,Noon
51,2713,117,30,60,17,3297,6039,5,30,1,3pm
52,2739,323,25,85,43,3118,6219,1,29,1,9am
53,2696,72,2,30,0,3271,6071,1,30,1,Noon
54,2510,79,14,192,19,891,5325,5,18,1,3pm
55,2502,81,7,175,11,912,5316,5,18,1,9am
56,2722,315,24,30,19,3216,6132,1,16,1,Noon
57,2500,74,11,190,9,930,5279,5,18,1,3pm
58,2486,68,5,180,-4,870,5262,5,18,1,9am
59,2489,11,4,175,13,840,5254,5,18,1,Noon
60,2489,42,6,162,13,810,5247,5,18,1,3pm
61,2490,75,5,134,17,810,5218,5,18,1,9am
62,2952,107,11,42,7,5845,3509,2,29,1,Noon
63,2705,90,8,134,22,2023,6615,2,12,1,3pm
64,2507,40,7,153,10,930,5221,5,18,1,9am
65,2500,49,14,150,27,870,5205,5,18,1,Noon
66,2493,63,10,127,20,840,5197,5,18,1,3pm
67,2509,59,7,134,10,900,5184,5,18,1,9am
68,2919,13,13,90,6,5321,4060,1,29,1,Noon
69,2740,54,6,218,42,2287,6686,2,12,1,3pm
70,2640,80,8,180,-2,1092,5866,2,29,1,9am
71,2843,166,12,242,53,4434,4956,2,30,1,Noon
72,3008,45,14,277,10,6371,3036,2,29,1,3pm
73,2893,114,16,108,30,5066,4340,2,29,1,9am
74,2850,6,9,0,0,4858,4548,2,16,1,Noon
75,2628,30,10,240,19,960,5645,2,29,1,3pm
76,2864,118,18,201,74,4567,4849,2,30,1,9am
77,2827,160,28,134,65,3948,5474,2,30,1,Noon
78,2529,326,5,30,14,1062,5047,2,16,1,3pm
79,2808,99,7,382,95,3107,6341,1,12,1,9am
80,2840,153,26,134,42,4613,4833,2,30,1,Noon
81,2795,79,10,531,96,2980,6497,1,20,1,3pm
82,2746,143,16,67,22,2440,6597,2,12,1,9am
83,2847,352,26,150,82,3697,5796,1,29,1,Noon
84,2840,14,14,216,88,3552,5944,1,12,1,3pm
85,2537,42,7,210,17,1132,4919,2,18,1,9am
86,2860,358,17,175,98,3705,5800,1,29,1,Noon
87,2818,332,26,30,17,4526,4978,2,29,1,3pm
88,2801,18,7,560,58,3084,6457,2,12,1,9am
89,2791,63,10,418,48,2942,6606,2,12,1,Noon
90,2745,306,11,67,24,2416,6428,2,29,1,3pm
91,2514,102,6,272,-5,1082,4811,2,18,1,9am
92,2788,13,16,30,8,4126,5396,2,29,1,Noon
93,2562,354,12,67,9,1057,5031,2,30,1,3pm
94,3073,173,12,108,-3,6836,2735,2,29,1,9am
95,2978,71,10,426,85,5742,3792,2,29,1,Noon
96,2860,31,10,295,98,3644,5904,1,12,1,3pm
97,3067,164,11,85,7,6811,2774,2,29,1,9am
98,2804,72,5,543,61,3115,6471,2,12,1,Noon
99,2562,59,3,0,0,1116,5091,2,16,1,3pm
100,2567,34,9,190,16,1136,4924,2,18,1,9am
101,2998,45,8,351,16,5842,3721,2,29,1,Noon
102,2684,84,12,150,2,1677,5693,2,29,1,3pm
103,2676,42,11,150,-5,1634,5655,2,29,1,9am
104,2863,102,15,190,71,4389,5184,1,29,1,Noon
105,2574,170,5,170,23,1180,4910,2,18,1,3pm
106,2511,211,6,162,30,1071,4660,2,18,1,9am
107,3067,32,4,30,-2,6679,2947,2,20,1,Noon
108,2909,57,16,134,23,5502,4084,2,29,1,3pm
109,2863,348,14,309,89,3918,5695,1,29,1,9am
110,2567,333,1,0,0,1266,5079,2,16,1,Noon
111,3182,105,11,408,33,6000,1184,1,29,1,3pm
112,2818,324,12,242,26,4156,5467,1,16,1,9am
113,2752,332,6,342,24,2372,6131,2,12,1,Noon
114,2751,88,5,400,30,2322,6088,2,12,1,3pm
115,2569,102,7,228,18,1266,4844,2,18,1,9am
116,3195,111,15,469,46,5941,1206,1,29,1,Noon
117,2982,53,14,240,63,5756,3880,2,29,1,3pm
118,2850,58,6,295,58,4394,5239,1,29,1,9am
119,2586,76,4,190,30,1290,4875,2,18,1,Noon
120,2837,17,13,330,45,4241,5428,1,29,1,3pm
121,2723,99,6,301,34,2109,5793,2,12,1,9am
122,3070,0,11,30,-6,6890,2858,2,29,1,Noon
123,3057,124,12,150,53,6508,3211,2,29,1,3pm
124,2818,119,19,30,10,5213,4497,2,29,1,9am
125,2847,320,33,85,39,4983,4727,2,29,1,Noon
126,2606,112,11,30,4,1584,5106,2,16,1,3pm
